"output_prefix","name","motif_id","cluster","total_tfbs","shCol7_mean_score","shCol7_bound","shC_mean_score","shC_bound","shCol7_shC_change","shCol7_shC_pvalue","shCol7_shC_highlighted","diffexpressed","labels"
"ZFP57_MA1583.1","ZFP57","MA1583.1","C_ZFP57",8585,0.1934,3686,0.187,3599,0.15943,5.87242e-119,"False","UP","ZFP57"
"E2F6_MA0471.2","E2F6","MA0471.2","C_E2F6",92895,0.19212,37845,0.18313,36905,0.15918,3.55251e-168,"False","UP","E2F6"
"E2F8_MA0865.2","E2F8","MA0865.2","C_E2F8",12908,0.18119,4998,0.17013,4890,0.15836,2.76694e-130,"False","UP","E2F8"
"KLF1_MA0493.2","KLF1","MA0493.2","C_KLF4",180728,0.20896,71862,0.19842,70306,0.15783,1.12819e-178,"True","UP","KLF1"
"ZBTB33_MA0527.1","ZBTB33","MA0527.1","C_ZBTB33",10052,0.28173,5452,0.26953,5331,0.15749,1.6326e-115,"False","UP","ZBTB33"
"DBP_MA0639.1","DBP","MA0639.1","C_NFIL3",15927,0.13989,5980,0.14369,6460,-0.15642,3.44432e-123,"True","DOWN","DBP"
"BACH2_MA1101.2","BACH2","MA1101.2","C_FOSL1",80690,0.21276,41005,0.22175,43068,-0.15631,1.26863e-166,"True","DOWN","BACH2"
"JDP2_MA0655.1","JDP2","MA0655.1","C_FOSL1",90204,0.2115,45954,0.21985,48065,-0.15624,3.66158e-169,"True","DOWN","JDP2"
"CTCF_MA1929.1","CTCF","MA1929.1","C_CTCF",85497,0.17124,37351,0.16536,35844,0.1557,3.53694e-169,"False","UP","CTCF"
"REL_MA0101.1","REL","MA0101.1","C_REL",31124,0.14133,10776,0.13523,10290,0.15552,4.0785e-148,"False","UP","REL"
"HES1_MA1099.2","HES1","MA1099.2","C_MYC",18041,0.22653,8145,0.21489,8039,0.1552,5.69047e-132,"False","UP","HES1"
"E2F2_MA0864.2","E2F2","MA0864.2","C_E2F4",7023,0.15836,2672,0.14917,2592,0.15426,1.12249e-113,"False","UP","E2F2"
"ATF4_MA0833.2","ATF4","MA0833.2","C_CEBPG",49318,0.12672,17062,0.1332,18329,-0.15393,2.57763e-149,"True","DOWN","ATF4"
"RFX3_MA0798.3","RFX3","MA0798.3","C_RFX3",17223,0.17836,6938,0.17042,6656,0.15328,4.11806e-131,"False","UP","RFX3"
"ZBTB7A_MA0750.2","ZBTB7A","MA0750.2","C_ERF",47108,0.22256,21111,0.21366,20629,0.15302,9.96054e-154,"False","UP","ZBTB7A"
"KLF11_MA1512.1","KLF11","MA1512.1","C_KLF9",98962,0.23488,42151,0.22171,41562,0.15289,2.31023e-167,"False","UP","KLF11"
"E2F4_MA0470.2","E2F4","MA0470.2","C_E2F4",5635,0.17755,2400,0.1662,2317,0.15252,1.14213e-108,"False","UP","E2F4"
"KLF2_MA1515.1","KLF2","MA1515.1","C_KLF2",123370,0.22395,51660,0.2124,50703,0.15227,1.07745e-175,"False","UP","KLF2"
"MLXIPL_MA0664.1","MLXIPL","MA0664.1","C_ARNT2",10973,0.19478,4495,0.18444,4346,0.15206,2.7972e-122,"False","UP","MLXIPL"
"FOSL2_MA0478.1","FOSL2","MA0478.1","C_FOSL1",138452,0.21188,66837,0.22241,70171,-0.15171,1.69267e-179,"True","DOWN","FOSL2"
"MAX_MA0058.3","MAX","MA0058.3","C_MYC",17650,0.17102,6429,0.16476,6303,0.15112,2.09356e-133,"False","UP","MAX"
"Arnt_MA0004.1","Arnt","MA0004.1","C_MYC",29447,0.17562,10949,0.16856,10696,0.15095,2.63198e-143,"False","UP","Arnt"
"ZNF320_MA1976.1","ZNF320","MA1976.1","C_ZNF320",125834,0.14594,39955,0.14053,38992,0.15071,1.17998e-170,"False","UP","ZNF320"
"HES2_MA0616.2","HES2","MA0616.2","C_MYC",15695,0.19482,6239,0.18664,6125,0.14811,4.65732e-128,"False","UP","HES2"
"Arntl_MA0603.1","Arntl","MA0603.1","C_ARNT2",15325,0.19525,6063,0.1851,5910,0.14806,6.2033e-132,"False","UP","Arntl"
"Npas2_MA0626.1","Npas2","MA0626.1","C_MYC",18250,0.15219,6186,0.14857,6069,0.14674,1.42791e-131,"False","UP","Npas2"
"Mlxip_MA0622.1","Mlxip","MA0622.1","C_MYC",20512,0.17568,7638,0.1691,7494,0.14569,2.08595e-141,"False","UP","Mlxip"
"OVOL1_MA1544.1","OVOL1","MA1544.1","C_OVOL1",4688,0.13817,1468,0.13303,1458,0.14532,7.08922e-106,"False","UP","OVOL1"
"ZIC1_MA0696.1","ZIC1","MA0696.1","C_ZIC5",45857,0.16234,16616,0.15719,16225,0.14526,9.93485e-151,"False","UP","ZIC1"
"HEY1_MA0823.1","HEY1","MA0823.1","C_MYC",16542,0.17676,6100,0.1702,6000,0.14434,7.41467e-125,"False","UP","HEY1"
"PLAG1_MA0163.1","PLAG1","MA0163.1","C_PLAG1",89998,0.13466,26703,0.12914,25992,0.14423,9.10232e-168,"False","UP","PLAG1"
"CTCF_MA1930.1","CTCF","MA1930.1","C_CTCF",77477,0.16817,32983,0.1635,31989,0.14221,2.79782e-154,"False","UP","CTCF"
"RFX2_MA0600.2","RFX2","MA0600.2","C_RFX3",16237,0.17658,6504,0.16832,6239,0.14218,6.95089e-121,"False","UP","RFX2"
"MYC_MA0147.3","MYC","MA0147.3","C_MYC",23967,0.16882,8601,0.1633,8462,0.14102,3.25334e-131,"False","UP","MYC"
"RELA_MA0107.1","RELA","MA0107.1","C_REL",39139,0.13522,13056,0.12993,12621,0.14091,3.4053e-146,"False","UP","RELA"
"GLIS1_MA0735.1","GLIS1","MA0735.1","C_GLIS1",18280,0.14429,5717,0.13874,5525,0.13994,2.48959e-128,"False","UP","GLIS1"
"E2F1_MA0024.3","E2F1","MA0024.3","C_ZNF417",4721,0.19596,2076,0.18581,2041,0.13989,9.79874e-102,"False","UP","E2F1"
"MLX_MA0663.1","MLX","MA0663.1","C_ARNT2",11512,0.19245,4612,0.18283,4486,0.13988,1.10359e-117,"False","UP","MLX"
"RELB_MA1117.1","RELB","MA1117.1","C_RELB",31285,0.13234,10082,0.12721,9743,0.13942,1.40799e-140,"False","UP","RELB"
"USF2_MA0526.4","USF2","MA0526.4","C_BHLHE41",12363,0.20555,5163,0.19468,5046,0.13909,1.22973e-120,"False","UP","USF2"
"ETV3_MA0763.1","ETV3","MA0763.1","C_ERF",17397,0.24079,8289,0.23048,8141,0.13902,1.85593e-127,"False","UP","ETV3"
"TFAP2A_MA0872.1","TFAP2A","MA0872.1","C_TFAP2C",40151,0.16498,14588,0.15953,14261,0.13878,8.69043e-141,"False","UP","TFAP2A"
"NFE2_MA0841.1","NFE2","MA0841.1","C_FOSL1",76696,0.21025,38619,0.2183,40224,-0.13872,1.27635e-154,"True","DOWN","NFE2"
"TP53_MA0106.3","TP53","MA0106.3","C_TP73",34714,0.18469,15109,0.18084,14540,0.13868,1.0405e-143,"False","UP","TP53"
"TP73_MA0861.1","TP73","MA0861.1","C_TP73",36072,0.18488,15735,0.18029,15163,0.13809,5.71427e-143,"False","UP","TP73"
"RFX5_MA0510.2","RFX5","MA0510.2","C_RFX3",17796,0.17589,7123,0.16816,6826,0.13788,5.68887e-129,"False","UP","RFX5"
"ZNF816_MA1719.1","ZNF816","MA1719.1","C_ZNF816",67178,0.12856,19531,0.12523,19061,0.13783,1.1889e-159,"False","UP","ZNF816"
"RFX1_MA0509.3","RFX1","MA0509.3","C_RFX3",16576,0.17512,6623,0.16777,6394,0.13697,2.05323e-128,"False","UP","RFX1"
"TFE3_MA0831.3","TFE3","MA0831.3","C_BHLHE41",14840,0.1923,5961,0.18315,5819,0.1364,5.06852e-124,"False","UP","TFE3"
"Foxn1_MA1684.1","Foxn1","MA1684.1","C_Foxn1",38688,0.20421,17318,0.19581,17042,0.13639,1.04583e-144,"False","UP","Foxn1"
"NFKB1_MA0105.4","NFKB1","MA0105.4","C_NFKB1",29666,0.1134,7937,0.10883,7674,0.13616,3.41258e-135,"False","UP","NFKB1"
"MYCN_MA0104.4","MYCN","MA0104.4","C_MAX::MYC",16079,0.17557,6021,0.16983,5935,0.1355,8.29566e-125,"False","UP","MYCN"
"INSM1_MA0155.1","INSM1","MA0155.1","C_INSM1",70268,0.1346,20923,0.13052,20417,0.13499,2.14445e-159,"False","UP","INSM1"
"KLF6_MA1517.1","KLF6","MA1517.1","C_KLF2",85486,0.23919,36826,0.22699,36451,0.13451,1.06083e-155,"False","UP","KLF6"
"TFAP2C_MA0815.1","TFAP2C","MA0815.1","C_TFAP2C",39584,0.16376,14275,0.15844,13971,0.13394,5.50979e-146,"False","UP","TFAP2C"
"NFYB_MA0502.2","NFYB","MA0502.2","C_NFYB",38102,0.2191,14597,0.21085,14234,0.13278,8.14518e-138,"False","UP","NFYB"
"MAFGNFE2L1_MA0089.2","MAFG::NFE2L1","MA0089.2","C_MAFG::NFE2L1",90450,0.19612,42171,0.20479,44295,-0.132,1.08899e-159,"True","DOWN","MAFG::NFE2L1"
"TEF_MA0843.1","TEF","MA0843.1","C_NFIL3",16006,0.13223,5698,0.13529,6098,-0.1314,1.14405e-123,"True","DOWN","TEF"
"GLIS3_MA0737.1","GLIS3","MA0737.1","C_GLIS3",25331,0.12181,6929,0.11802,6758,0.13137,4.05883e-128,"False","UP","GLIS3"
"TFAP2B_MA0813.1","TFAP2B","MA0813.1","C_TFAP2C",44396,0.16147,15818,0.15645,15427,0.13014,1.02177e-141,"False","UP","TFAP2B"
"Creb3l2_MA0608.1","Creb3l2","MA0608.1","C_Creb3l2",14484,0.19879,5840,0.19098,5750,0.13001,3.57044e-120,"False","UP","Creb3l2"
"E2F7_MA0758.1","E2F7","MA0758.1","C_E2F7",18858,0.13045,6199,0.12418,6038,0.12997,6.17172e-129,"False","UP","E2F7"
